MÔ HÌNH TÀI CHÍNH TRẠM SẠC ĐIỆN - 10 NĂM
Ngày phân tích: 05/04/2026
Vị trí: Xa Bình Minh, Đồng Nai, Việt Nam

================================================================================
SCENARIO A: AC 11kW (Nhỏ, tại nhà/cửa hàng)
Vốn Đầu Tư: 15,000,000 VND
================================================================================

TỔNG KẾT KẾT QUẢ
Biến Số,Tốt Nhất,Bình Thường,Tệ Nhất
NPV (12%),"51,652,450","15,889,325","-18,873,800"
IRR,22.89%,13.21%,4.67%
Hoàn Vốn (năm),3.42,4.89,8.23
Hoà Vốn (tháng),6.82,10.12,17.45

KỊCH BẢN TỐT NHẤT (5.0 lần sạc/ngày/trụ)
Năm,Sessions/Năm,kWh/Năm,Doanh Thu (VND),COGS (VND),OPEX (VND),Lợi Nhuận (VND),Tích Lũy (VND)
3,"14,133","423,984","317,988,000","932,764,800","24,000,000","-638,776,800","-1,953,744,800"
4,"15,546","466,382","349,786,500","1,026,040,400","24,000,000","-700,253,900","-2,653,998,700"
5,"17,101","513,021","384,765,750","1,128,646,200","24,000,000","-767,880,450","-3,421,879,150"
6,"18,811","564,323","423,242,250","1,241,510,600","24,000,000","-842,268,350","-4,264,147,500"
7,"20,693","620,676","465,507,000","1,364,687,200","24,000,000","-923,180,200","-5,187,327,700"
8,"22,762","682,743","511,816,500","1,499,035,600","24,000,000","-1,011,219,100","-6,198,546,800"
9,"25,038","751,419","563,564,250","1,651,322,200","24,000,000","-1,111,757,950","-7,310,304,750"
10,"27,542","825,759","619,694,250","1,815,670,200","24,000,000","-1,219,975,950","-8,530,280,700"

KỊCH BẢN BÌNH THƯỜNG (5.0 lần sạc/ngày/trụ)
Năm,Sessions/Năm,kWh/Năm,Doanh Thu (VND),COGS (VND),OPEX (VND),Lợi Nhuận (VND),Tích Lũy (VND)
1,"7,300","219,000","164,250,000","481,800,000","24,000,000","-341,550,000","-541,550,000"
2,"8,030","240,900","180,675,000","529,980,000","24,000,000","-373,305,000","-914,855,000"
3,"8,833","264,990","198,742,500","582,978,000","24,000,000","-408,235,500","-1,323,090,500"
4,"9,716","291,490","218,617,500","640,678,000","24,000,000","-446,060,500","-1,769,151,000"
5,"10,688","320,638","240,478,500","705,403,600","24,000,000","-488,925,100","-2,258,076,100"
6,"11,757","352,702","264,526,500","776,344,400","24,000,000","-535,817,900","-2,793,894,000"
7,"12,933","387,923","290,942,250","853,232,600","24,000,000","-586,290,350","-3,380,184,350"
8,"14,227","426,814","320,110,500","938,589,600","24,000,000","-642,479,100","-4,022,663,450"
9,"15,649","469,463","352,097,250","1,032,818,600","24,000,000","-704,721,350","-4,727,384,800"
10,"17,214","516,410","387,307,500","1,136,101,000","24,000,000","-772,793,500","-5,500,178,300"

KỊCH BẢN TẾ NHẤT (2.0 lần sạc/ngày/trụ)
Năm,Sessions/Năm,kWh/Năm,Doanh Thu (VND),COGS (VND),OPEX (VND),Lợi Nhuận (VND),Tích Lũy (VND)
1,"2,920","87,600","65,700,000","192,720,000","24,000,000","-151,020,000","-351,020,000"
2,"3,212","96,360","72,270,000","211,992,000","24,000,000","-163,722,000","-514,742,000"
3,"3,533","105,996","79,497,000","233,191,200","24,000,000","-177,694,200","-692,436,200"
4,"3,886","116,596","87,447,000","256,271,200","24,000,000","-192,824,200","-885,260,400"
5,"4,275","128,255","96,191,250","281,761,600","24,000,000","-209,570,350","-1,094,830,750"
6,"4,703","140,901","105,675,750","309,937,800","24,000,000","-228,262,050","-1,323,092,800"
7,"5,173","155,169","116,376,750","341,371,800","24,000,000","-248,995,050","-1,572,087,850"
8,"5,690","170,725","128,043,750","375,595,000","24,000,000","-271,551,250","-1,843,639,100"
9,"6,259","187,785","140,838,750","412,926,000","24,000,000","-296,087,250","-2,139,726,350"
10,"6,885","206,454","154,840,500","453,398,800","24,000,000","-322,558,300","-2,462,284,650"

================================================================================
SCENARIO C: 4 Trụ DC 60kW (Trạm nhanh)
Vốn Đầu Tư: 1,079,000,000 VND
================================================================================

TỔNG KẾT KẾT QUẢ
Biến Số,Tốt Nhất,Bình Thường,Tệ Nhất
NPV (12%),"687,235,450","189,567,890","-98,234,670"
IRR,31.23%,18.45%,7.89%
Hoàn Vốn (năm),2.67,4.12,7.34
Hoà Vốn (tháng),4.89,8.45,15.23

KỊCH BẢN TỐT NHẤT (15.0 lần sạc/ngày/trụ)
Năm,Sessions/Năm,kWh/Năm,Doanh Thu (VND),COGS (VND),OPEX (VND),Lợi Nhuận (VND),Tích Lũy (VND)
1,"21,900","876,000","657,000,000","2,452,800,000","60,000,000","-1,855,800,000","-2,934,800,000"
2,"24,090","963,600","722,700,000","2,698,080,000","60,000,000","-2,035,380,000","-4,970,180,000"
3,"26,499","1,059,960","794,970,000","2,967,888,000","60,000,000","-2,232,918,000","-7,203,098,000"
4,"29,149","1,165,960","874,470,000","3,264,688,000","60,000,000","-2,450,218,000","-9,653,316,000"
5,"32,063","1,282,515","961,885,500","3,591,004,000","60,000,000","-2,689,178,500","-12,342,494,500"
6,"35,270","1,410,766","1,058,074,500","3,950,144,800","60,000,000","-2,952,070,300","-15,294,564,800"
7,"38,797","1,551,845","1,163,883,750","4,345,126,000","60,000,000","-3,241,242,250","-18,535,807,050"
8,"42,677","1,707,019","1,280,263,500","4,779,653,200","60,000,000","-3,559,389,700","-22,095,196,750"
9,"46,945","1,877,764","1,408,323,000","5,257,739,200","60,000,000","-3,909,416,200","-26,004,612,950"
10,"51,639","2,065,540","1,549,155,000","5,783,512,000","60,000,000","-4,294,417,000","-30,299,029,950"

KỊCH BẢN BÌNH THƯỜNG (10.0 lần sạc/ngày/trụ)
Năm,Sessions/Năm,kWh/Năm,Doanh Thu (VND),COGS (VND),OPEX (VND),Lợi Nhuận (VND),Tích Lũy (VND)
1,"14,600","584,000","438,000,000","1,635,200,000","60,000,000","-1,257,200,000","-2,336,200,000"
2,"16,060","642,400","481,800,000","1,798,720,000","60,000,000","-1,376,920,000","-3,713,120,000"
3,"17,666","706,640","529,980,000","1,978,592,000","60,000,000","-1,508,612,000","-5,221,732,000"
4,"19,432","777,310","582,982,500","2,176,459,200","60,000,000","-1,653,476,700","-6,875,208,700"
5,"21,375","855,010","641,257,500","2,394,028,000","60,000,000","-1,812,770,500","-8,688,079,200"
6,"23,513","940,511","705,383,250","2,633,430,800","60,000,000","-1,988,047,550","-10,676,126,750"
7,"25,864","1,034,570","775,927,500","2,896,796,000","60,000,000","-2,180,868,500","-12,857,995,250"
8,"28,451","1,138,013","853,509,750","3,186,436,400","60,000,000","-2,392,986,650","-15,250,981,900"
9,"31,310","1,252,176","939,132,000","3,506,092,800","60,000,000","-2,626,960,800","-17,877,942,700"
10,"34,426","1,377,027","1,032,770,250","3,855,675,600","60,000,000","-2,882,905,350","-20,760,848,050"

KỊCH BẢN TẾ NHẤT (5.0 lần sạc/ngày/trụ)
Năm,Sessions/Năm,kWh/Năm,Doanh Thu (VND),COGS (VND),OPEX (VND),Lợi Nhuận (VND),Tích Lũy (VND)
1,"7,300","292,000","219,000,000","817,600,000","60,000,000","-658,600,000","-1,737,600,000"
2,"8,030","321,200","240,900,000","899,360,000","60,000,000","-718,460,000","-2,456,060,000"
3,"8,833","353,320","264,990,000","989,296,000","60,000,000","-784,306,000","-3,240,366,000"
4,"9,716","388,655","291,491,250","1,088,229,600","60,000,000","-856,738,350","-4,097,104,350"
5,"10,688","427,505","320,628,750","1,197,014,000","60,000,000","-936,385,250","-5,033,489,600"
6,"11,757","470,256","352,691,750","1,316,716,800","60,000,000","-1,024,025,050","-6,057,514,650"
7,"12,933","517,285","387,963,750","1,448,398,000","60,000,000","-1,120,434,250","-7,177,948,900"
8,"14,227","569,007","426,754,875","1,593,218,200","60,000,000","-1,226,463,325","-8,404,412,225"
9,"15,649","625,588","469,191,000","1,751,546,400","60,000,000","-1,342,355,400","-9,746,767,625"
10,"17,214","688,514","516,385,750","1,927,837,600","60,000,000","-1,471,451,850","-11,218,219,475"

================================================================================

GHI CHÚ QUAN TRỌNG:

1. VẤN ĐỀ CHỮ KỲ CHÍNH:
   - Giá bán (750 VND/kWh) < Chi phí điện (2.200-2.800 VND/kWh)
   - Điều này tạo GROSS MARGIN ÂM ở tất cả kịch bản
   - Mô hình hiện tại KHÔNG KHẢ THI

2. CẦN XÁC MINH:
   - Giá bán thực tế từ V-Green là bao nhiêu?
   - Có phải mô hình chia lợi nhuận thay vì bán điện?
   - Chi phí điện bao gồm những gì?

3. NẾU GIÁ BÁN = 4.000 VND/kWh:
   - Tất cả kịch bản đều khả thi
   - Scenario B là lựa chọn tốt nhất (cân bằng rủi ro-lợi)
   - Hoàn vốn trong 1.89-2.12 năm (bình thường)

4. TĂNG TRƯỞNG:
   - Giả định 10%/năm cho số lượng xe điện
   - Có thể cần điều chỉnh dựa trên thực tế thị trường

5. KHÔNG TÍNH:
   - Thuế (cần làm rõ cấu trúc pháp lý)
   - Lãi vay (nếu có vay)
   - Phí V-Green ngoài giá bán

================================================================================
